|    Прізвище     |      Ім‘я      |Вік|Група крові|    Звання  |         Боєкомплект          |  
        Матеїч	       Андрій	 30	  O+	           Майор	             Пістолет, М4
        Негрич	        Назар	 61	  A+	    Підполковник	                       М4
     Сергієнко	       Степан	 19	 AB-	    Підполковник	               Гранатомет
        Скибич	     Борислав	 27	  B+	    Підполковник	             Пістолет, М4
     Кириленко	        Назар	 40	 AB-	    Підполковник	                      АКМ
      Потравич	        Павло	 26	  A+	    Підполковник	                      АКМ
   Петрушинець	        Євген	 22	  A-	    Підполковник	                      М16
           Юїч	       Кирило	 25	 AB+	    Підполковник	                      ПКМ
     Коваленко	        Вадим	 36	 AB-	    Підполковник	                      М16
     Тарасенко	        Арсен	 29	  B+	    Підполковник	                       М4
        Скибич	     Анатолій	 28	  A-	    Підполковник	          АК-74, Пістолет
      Шевченко	     Валентин	 18	  A-	    Підполковник	          Гранатомет, М16
         Зінич	      Андріан	 64	  O-	    Підполковник	                       М4
    Бондаренко	       Дмитро	 44	 AB-	    Підполковник	        Гранатомет, АК-47
Одиниць озброєння:
Рекрути: 43 од.
Солдати: 39 од.
Сержанти: 44 од.
Лейтенанти: 37 од.
Капітани: 36 од.
Майори: 45 од.
Підполковники: 38 од.
Загалом: 282 од.
Середній вік для:
Рекрутів: 39,83 р.
Солдатів: 33,85 р.
Сержантів: 39,67 р.
Лейтенантів: 47,77 р.
Капітанів: 35,4 р.
Майорів: 39,06 р.
Підполковників: 37,82 р.
Всіх бійців: 39,06 р.
Бійці, які мають більше однієї одиниці зброї
|    Прізвище     |      Ім‘я      |Вік|Група крові|    Звання  |         Боєкомплект          |  
    Посвятенко	    Ростислав	 61	  A-	          Рекрут	          Гранатомет, ПКМ
         Стоїч	    Володимир	 22	  A+	          Рекрут	          АК-74, Пістолет
        Катрич	        Євген	 41	  B+	          Рекрут	         АК-101, Пістолет
     Козубенко	        Орест	 40	 AB-	          Рекрут	Гранатомет, АК-47, Пістолет
         Рудич	        Назар	 61	  O-	          Рекрут	          Пістолет, АК-47
       Кузьмич	         Ілля	 30	  B-	          Рекрут	             Пістолет, М4
       Юрченко	         Юрій	 35	  A+	          Рекрут	Гранатомет, АК-47, Пістолет
          Соїч	        Вадим	 59	  B+	          Рекрут	        Гранатомет, АК-47
        Негрич	        Борис	 62	  O-	          Рекрут	         АК-103, Пістолет
       Іллєнко	       Сергій	 20	  O+	          Рекрут	         АК-101, Пістолет
      Потравич	        Назар	 53	  O-	          Рекрут	        Гранатомет, АК-47
    Лук'яненко	         Еріх	 36	  O-	          Рекрут	          Пістолет, АК-47
         Хіміч	      Віталій	 29	  A-	          Солдат	          Гранатомет, М16
   Капітоненко	         Юрій	 33	  B+	          Солдат	          АК-74, Пістолет
         Стоїч	    Святослав	 19	  B+	          Солдат	          Гранатомет, ПКМ
   Капітаненко	       Максим	 23	 AB+	          Солдат	          Пістолет, АК-47
      Ткаченко	     Григорій	 23	  B-	          Солдат	          Гранатомет, М16
         Вівич	        Борис	 33	  A-	          Солдат	          АК-74, Пістолет
    Одиноченко	        Орест	 36	 AB-	          Солдат	         АК-103, Пістолет
        Маріїч	     Борислав	 45	  A+	          Солдат	         АК-103, Пістолет
      Мар'єнко	    Ростислав	 33	  B-	          Солдат	         АК-103, Пістолет
    Одиноченко	      Альберт	 56	  A+	          Солдат	Гранатомет, АК-47, Пістолет
     Козубенко	      Валерій	 45	  O-	          Солдат	             Пістолет, М4
         Марич	         Гліб	 61	  B-	          Солдат	          Гранатомет, М16
      Тулейбич	       Дмитро	 54	  B-	          Солдат	Гранатомет, АК-47, Пістолет
    Дем'яненко	        Вадим	 21	  O-	         Сержант	          АК-74, Пістолет
   Капітоненко	       Василь	 56	  B-	         Сержант	        Гранатомет, АК-47
     Ярмоленко	        Захар	 46	 AB+	         Сержант	         АК-103, Пістолет
      Потравич	        Орест	 22	  A-	         Сержант	          АК-74, Пістолет
    Гончаренко	      Ярослав	 36	  O+	         Сержант	          Гранатомет, М16
        Поприч	         Ілля	 21	  B+	         Сержант	             Пістолет, М4
      Павленко	       Микола	 31	  A+	         Сержант	        Гранатомет, АК-47
     Титаренко	       Микола	 59	 AB-	         Сержант	          Гранатомет, М16
       Кузьмич	      Віталій	 49	  B+	         Сержант	             Пістолет, М4
       Іллєнко	      Валерій	 56	  A-	         Сержант	          Гранатомет, М16
        Матеїч	    В'ячеслав	 21	  B+	         Сержант	        Гранатомет, АК-47
    Вдовиченко	        Назар	 30	 AB-	         Сержант	          Гранатомет, М16
     Ідушкевич	     Анатолій	 40	  O-	         Сержант	          Пістолет, АК-47
     Симоненко	    Святослав	 54	  B-	         Сержант	         АК-101, Пістолет
      Шевченко	      Ярослав	 59	  A-	         Сержант	          Гранатомет, М16
     Симоненко	    В'ячеслав	 37	  A-	       Лейтенант	         АК-101, Пістолет
     Ярмоленко	       Василь	 50	  B+	       Лейтенант	          Гранатомет, М16
      Іваненко	       Андрій	 56	  O+	       Лейтенант	Гранатомет, АК-47, Пістолет
    Лук'яненко	        Денис	 40	  O-	       Лейтенант	          Гранатомет, М16
      Савченко	        Павло	 24	  B+	       Лейтенант	        Гранатомет, АК-47
          Соїч	     Борислав	 60	  B+	       Лейтенант	          Пістолет, АК-47
       Попадич	        Євген	 52	  B-	       Лейтенант	         АК-103, Пістолет
       Попадич	     Мирослав	 52	  O+	       Лейтенант	         АК-101, Пістолет
     Тимошенко	     Борислав	 55	 AB-	       Лейтенант	          АК-74, Пістолет
         Вівич	        Борис	 56	  O-	       Лейтенант	          Гранатомет, ПКМ
        Матеїч	     Борислав	 61	  A+	       Лейтенант	          Гранатомет, ПКМ
       Косенко	       Кирило	 30	  O-	       Лейтенант	          Гранатомет, М16
         Зінич	        Артур	 33	  O-	       Лейтенант	         АК-101, Пістолет
       Пелешко	      Альберт	 23	 AB+	         Капітан	          АК-74, Пістолет
    Касьяненко	       Кирило	 27	  B-	         Капітан	          АК-74, Пістолет
       Кулініч	     Валентин	 45	  A+	         Капітан	          Гранатомет, ПКМ
     Симоненко	     Борислав	 20	 AB+	         Капітан	          Гранатомет, М16
       Ульєнко	      Ярослав	 26	 AB-	         Капітан	        Гранатомет, АК-47
        Поприч	     Мирослав	 37	  A-	         Капітан	Гранатомет, АК-47, Пістолет
         Ягнич	      Альберт	 37	  A+	         Капітан	Гранатомет, АК-47, Пістолет
    Лук'яненко	        Павло	 24	 AB-	         Капітан	         АК-103, Пістолет
     Потапенко	      Ярослав	 22	  O+	         Капітан	          Гранатомет, М16
        Дарвай	       Максим	 19	  O-	         Капітан	Гранатомет, АК-47, Пістолет
      Петренко	       Максим	 47	 AB-	         Капітан	         АК-101, Пістолет
     Козубенко	     Анатолій	 47	  B-	           Майор	        Гранатомет, АК-47
     Козубенко	        Павло	 31	  O-	           Майор	         АК-101, Пістолет
        Матеїч	       Андрій	 30	  O+	           Майор	             Пістолет, М4
       Косенко	      Віталій	 23	  B-	           Майор	Гранатомет, АК-47, Пістолет
        Шуфрич	      Андріан	 33	  A+	           Майор	        Гранатомет, АК-47
     Козубенко	    В'ячеслав	 56	  O+	           Майор	          АК-74, Пістолет
        Дарвай	       Сергій	 41	  O-	           Майор	          Гранатомет, М16
       Луценко	      Валерій	 29	  B-	           Майор	          Гранатомет, ПКМ
       Ульєнко	      Віталій	 55	  O-	           Майор	        Гранатомет, АК-47
      Зінченко	       Сергій	 57	  A+	           Майор	          АК-74, Пістолет
           Юїч	        Артур	 45	 AB-	           Майор	         АК-101, Пістолет
       Бабенко	       Степан	 42	  B+	           Майор	          АК-74, Пістолет
     Василенко	        Євген	 33	  B-	           Майор	             Пістолет, М4
         Янків	       Микола	 21	  B+	           Майор	        Гранатомет, АК-47
        Негрич	         Юрій	 24	  O+	           Майор	             Пістолет, М4
         Зінич	        Орест	 19	  A-	           Майор	             Пістолет, М4
     Потапенко	        Борис	 28	  A-	    Підполковник	          Пістолет, АК-47
     Титаренко	      Віталій	 37	  A-	    Підполковник	        Гранатомет, АК-47
       Бабенко	        Вадим	 54	  B-	    Підполковник	          Гранатомет, ПКМ
         Ягнич	        Євген	 18	  B-	    Підполковник	         АК-103, Пістолет
         Ягнич	        Петро	 28	  A+	    Підполковник	          Гранатомет, ПКМ
      Ткаченко	      Ярослав	 37	  A+	    Підполковник	          Гранатомет, М16
       Кузьмич	        Борис	 25	  O-	    Підполковник	          Гранатомет, ПКМ
        Скибич	     Борислав	 27	  B+	    Підполковник	             Пістолет, М4
        Скибич	     Анатолій	 28	  A-	    Підполковник	          АК-74, Пістолет
      Шевченко	     Валентин	 18	  A-	    Підполковник	          Гранатомет, М16
    Бондаренко	       Дмитро	 44	 AB-	    Підполковник	        Гранатомет, АК-47
